N,mean,std,p,cfint,p_single
100000,0.5415492306110721,0.0011865158734561537,3.395354020248555e-79,0.002325528379059194,0.0
50000,0.5412559565253283,0.0023299246758350196,1.0879478495345894e-70,0.004566568451327746,0.0
25000,0.5027519060919193,0.006298380099132251,3.0898346489312496e-57,0.012344598155243025,0.0
10000,0.45343209876532115,0.009494764221868401,9.079960360770083e-51,0.018609395916561522,0.0
5000,0.4095954502388732,0.01240513471129672,4.010734784122216e-46,0.024313617257509246,2.2245235038290554e-239
2500,0.3341137035377437,0.011687347800220795,2.6067858061999527e-44,0.022906780763226164,4.785420566388259e-180
1000,0.20593245516436692,0.01541755909937452,9.418550142237465e-35,0.03021786056429185,5.390582889996488e-41
